time,id,lat,threshold_l
1685691408281682,SUB2,516,300
1685691408281747,SUB3,464,300
1685691413288489,SUB2,574,300
1685691413288561,SUB3,491,300
1685691418295434,SUB2,574,300
1685691418295532,SUB3,516,300
1685691423302583,SUB2,513,300
1685691423302649,SUB3,427,300
1685691428309479,SUB2,529,300
1685691428309545,SUB3,443,300
1685691433316755,SUB2,718,300
1685691433316843,SUB3,637,300
1685691438324058,SUB2,528,300
1685691438324125,SUB3,473,300
1685691443330893,SUB2,577,300
1685691443330964,SUB3,490,300
1685691448337964,SUB2,687,300
1685691448338059,SUB3,609,300
1685691453344576,SUB2,526,300
1685691453344641,SUB3,420,300
1685691458351772,SUB2,569,300
1685691458351839,SUB3,485,300
1685691463358728,SUB2,474,300
1685691463358836,SUB3,438,300
1685691468365433,SUB2,493,300
1685691468365498,SUB3,407,300
1685691473372244,SUB2,438,300
1685691473372315,SUB3,390,300
1685691478378906,SUB2,521,300
1685691478378977,SUB3,437,300
1685691483385919,SUB2,627,300
1685691483385988,SUB3,488,300
1685691488392240,SUB2,626,300
1685691488392305,SUB3,479,300
1685691493399019,SUB2,537,300
1685691493399084,SUB3,449,300
1685691498405915,SUB2,578,300
1685691498405986,SUB3,490,300
1685691503412897,SUB2,537,300
1685691503412966,SUB3,445,300
1685691508419267,SUB2,562,300
1685691508419337,SUB3,457,300
1685691513425640,SUB2,546,300
1685691513425709,SUB3,462,300
1685691518432290,SUB2,522,300
1685691518432356,SUB3,438,300
1685691523438857,SUB2,442,300
1685691523438914,SUB3,344,300
1685691528444414,SUB2,590,300
1685691528444484,SUB3,494,300
1685691533450964,SUB2,558,300
1685691533451028,SUB3,434,300
1685691538457002,SUB2,519,300
1685691538457067,SUB3,431,300
1685691543463636,SUB2,631,300
1685691543463709,SUB3,542,300
1685691548470230,SUB2,646,300
1685691548470302,SUB3,503,300
1685691553476172,SUB2,536,300
1685691553476238,SUB3,422,300
1685691558483519,SUB2,659,300
1685691558483587,SUB3,526,300
