time,id,storage
1685691089285695,SUB11,0
1685691089285730,SUB12,0
1685691089285750,SUB13,0
1685691090291519,SUB2,0
1685691090291658,SUB7,0
1685691090291771,SUB11,0
1685691090291855,SUB12,0
1685691090291942,SUB13,0
1685691091294562,SUB3,0
1685691091294632,SUB8,0
1685691091294666,SUB11,0
1685691091294685,SUB12,0
1685691091294701,SUB13,0
1685691092299171,SUB4,0
1685691092299413,SUB9,0
1685691092299736,SUB11,0
1685691092299992,SUB12,0
1685691092300220,SUB13,0
1685691093312397,SUB5,0
1685691093312986,SUB10,0
1685691093313254,SUB11,0
1685691093313515,SUB12,0
1685691093313740,SUB13,0
1685691095311050,SUB11,0
1685691095311162,SUB12,0
1685691095311183,SUB13,0
1685691096310227,SUB2,0
1685691096310267,SUB7,0
1685691096310300,SUB11,0
1685691096310354,SUB12,0
1685691096310400,SUB13,0
1685691097315153,SUB3,0
1685691097315203,SUB8,0
1685691097315222,SUB11,0
1685691097315250,SUB12,0
1685691097315281,SUB13,0
1685691098318407,SUB4,0
1685691098318466,SUB9,0
1685691098318504,SUB11,0
1685691098318580,SUB12,0
1685691098318654,SUB13,0
1685691099324175,SUB5,0
1685691099324738,SUB10,0
1685691099325369,SUB11,0
1685691099326028,SUB12,0
1685691099326835,SUB13,0
1685691101323582,SUB11,0
1685691101323637,SUB12,0
1685691101323678,SUB13,0
1685691102329019,SUB2,0
1685691102329204,SUB7,0
1685691102329314,SUB11,0
1685691102329400,SUB12,0
1685691102329515,SUB13,0
1685691103330493,SUB3,0
1685691103330626,SUB8,0
1685691103330746,SUB11,0
1685691103330848,SUB12,0
1685691103330961,SUB13,0
1685691104331781,SUB4,0
1685691104331917,SUB9,0
1685691104332004,SUB11,0
1685691104332076,SUB12,0
1685691104332144,SUB13,0
1685691105336791,SUB5,0
1685691105337098,SUB10,0
1685691105337311,SUB11,0
1685691105337542,SUB12,0
1685691105337763,SUB13,0
1685691107344158,SUB11,0
1685691107344313,SUB12,0
1685691107344408,SUB13,0
1685691108347355,SUB2,0
1685691108347559,SUB7,0
1685691108347698,SUB11,0
1685691108347826,SUB12,0
1685691108347904,SUB13,0
1685691109349999,SUB3,0
1685691109350123,SUB8,0
1685691109350214,SUB11,0
1685691109350354,SUB12,0
1685691109350491,SUB13,0
1685691110354209,SUB4,0
1685691110354520,SUB9,0
1685691110354698,SUB11,0
1685691110354945,SUB12,0
1685691110355182,SUB13,0
1685691111365392,SUB5,0
1685691111365620,SUB10,0
1685691111365889,SUB11,0
1685691111366132,SUB12,0
1685691111366357,SUB13,0
1685691113365457,SUB11,0
1685691113365516,SUB12,0
1685691113365538,SUB13,0
1685691114368490,SUB2,0
1685691114368550,SUB7,0
1685691114368574,SUB11,0
1685691114368596,SUB12,0
1685691114368616,SUB13,0
1685691115372301,SUB3,0
1685691115372329,SUB8,0
1685691115372351,SUB11,0
1685691115372376,SUB12,0
1685691115372401,SUB13,0
1685691116375519,SUB4,0
1685691116375587,SUB9,0
1685691116375616,SUB11,0
1685691116375643,SUB12,0
1685691116375671,SUB13,0
1685691117381542,SUB5,0
1685691117381792,SUB10,0
1685691117382055,SUB11,0
1685691117382265,SUB12,0
1685691117382447,SUB13,0
1685691119389063,SUB11,0
1685691119389135,SUB12,0
1685691119389163,SUB13,0
1685691120392148,SUB2,0
1685691120392298,SUB7,0
1685691120392409,SUB11,0
1685691120392511,SUB12,0
1685691120392621,SUB13,0
1685691121395004,SUB3,0
1685691121395046,SUB8,0
1685691121395065,SUB11,0
1685691121395095,SUB12,0
1685691121395118,SUB13,0
1685691122399113,SUB4,0
1685691122399203,SUB9,0
1685691122399270,SUB11,0
1685691122399319,SUB12,0
1685691122399354,SUB13,0
1685691123404218,SUB5,0
1685691123404596,SUB10,0
1685691123404951,SUB11,0
1685691123405225,SUB12,0
1685691123405443,SUB13,0
1685691125411845,SUB11,0
1685691125411892,SUB12,0
1685691125411912,SUB13,0
1685691126414817,SUB2,0
1685691126414877,SUB7,0
1685691126414923,SUB11,0
1685691126414945,SUB12,0
1685691126414965,SUB13,0
1685691127418603,SUB3,0
1685691127418649,SUB8,0
1685691127418671,SUB11,0
1685691127418697,SUB12,0
1685691127418717,SUB13,0
1685691128422052,SUB4,0
1685691128422097,SUB9,0
1685691128422149,SUB11,0
1685691128422210,SUB12,0
1685691128422260,SUB13,0
1685691129427250,SUB5,0
1685691129427509,SUB10,0
1685691129427735,SUB11,0
1685691129427943,SUB12,0
1685691129428132,SUB13,0
1685691131435273,SUB11,0
1685691131435391,SUB12,0
1685691131435500,SUB13,0
1685691132438417,SUB2,0
1685691132438528,SUB7,0
