1687239260786192 1687239260891393 1687239260908598 1687239261112998 0 100 0
1687239275848764 1687239275955632 1687239275973901 1687239276092251 0 100 0
1687239300989791 1687239301097427 1687239301106552 1687239303055564 0 100 0
1687239300989791 1687239301097427 1687239301106529 1687239301314406 0 100 0
1687239300989791 1687239301097427 1687239301106394 1687239301311351 0 100 0
1687239295998413 1687239296110035 1687239296119204 1687239297061191 0 100 0
0 1064416 0
1687239265766624 1687239265871644 1687239265876747 1687239269443408 0 100 0
1687239267804320 1687239269220327 1687239269246724 1687239273259973 0 1064416 0
1687239270822116 1687239270927212 1687239270934027 1687239273260386 0 100 0
1687239272775511 1687239274216991 1687239274244220 1687239278411372 0 1064416 0
1687239275848764 1687239275955632 1687239275962656 1687239278411798 0 100 0
1687239277779137 1687239279247983 1687239279299377 1687239339115964 0 1064416 0
1687239281620959 1687239281728880 1687239281740531 1687239339116369 0 100 0
